extinct,pop_drop20, pop_drop50, pop_drop80, r_allele_peak15, r_allele_peak45, r_allele_peak75, final_r_allele, final_pop_size, final_inf_prev, max_r_allele, time_max_r_allele, max_inf_prev, time_last_zero_inf, min_pop, time_min_pop, at_K95, firstK95, r_ts_d0, parm_number 
"0","0","0","0","0","0","0","0.0385384317014071","517.2","0.00103015072380233","0.0439770554493308","1","0.110019646365422","102","504","127","1","128","0.0383877159309021","1"
"1","1","1","1","1","1","NA","0.171376123751206","28.2666666666667","0.592089420542323","0.5","NA","0.804347826086957","33","0","44","0","NA","0.099609375","2"
"0","0","0","1","0","0","0","0.024746859888715","121.333333333333","0.000520833333333333","0.0402298850574713","1","0.176470588235294","37","87","36","1","38","0.0315315315315315","3"
"0","1","1","1","1","1","1","1","103.666666666667","0.938943786755616","1","44","1","34","4","39","1","57","0.0732758620689655","4"
"0","0","1","1","1","0","0","0.130964051654844","563.533333333333","0.00238064945985165","0.158139534883721","62","0.222222222222222","71","216","56","1","60","0.099647266313933","5"
"0","0","0","1","0","0","0","0.0531594671350733","639.6","0.00228995277270752","0.0654296875","1","0.932475884244373","43","512","33","1","35","0.0532407407407407","6"
"0","0","0","1","1","1","1","0.997244261034598","605.266666666667","0.0127938246744472","1","126","0.0542763157894737","93","331","97","1","101","0.0785597381342062","7"
"0","0","0","1","0","0","0","0.014730556994205","421.4","0.278163915277628","0.0471698113207547","1","0.802380952380952","98","262","101","1","103","0.0468384074941452","8"
"0","0","1","1","0","0","0","0.0048488703804278","646.133333333333","0.503096405339326","0.0883333333333333","1","0.886503067484663","93","300","96","1","99","0.0568356374807988","9"
"1","1","1","1","0","0","0","0.0260472358514122","340.8","0.0792195126520109","0.050561797752809","10","0.348314606741573","105","0","110","0","NA","0.0296703296703297","10"
